,Comments_youtube
237,"Yg udh nelan ratusan nyawa pahlawan anggota tni polri, serta rakyat sipil kok malah dicap terorisnya belakangan. Tapi okelah pemerintah, x ini lebih terlihat objektif dan logis dalam mengambil keputusan"
238,"Pa sebanyak berapa yg menyetujui....jgn sampai spt pepera...1000 mengatasnamakan 18.000, ingat pa hati untuk keutuhan NKRI"
239,Pengen bgt terjun membasmi kkb bersama TNI tapi sayang saya bukan siapa siapa
240,"Kemaren2 nantang2 tentara, giliran mau diperangi macem2 alasannya... Hajar habis"
241,Alhamdulillah akhirnya ada jenis teroris baru... 
242,SIKAT HABIS SAMPAI TUNTAS...biar masyarakat umum klo tinggal di PAPUA merasa aman nyaman tenteram damai...tidak kwawatir waswas dan takut. Jangan perdulikan omongan nglantur Gubernur Papua yang ingin melindungi Kkb  krn di cap Teroris..kayaknya ada keterkaitan antara si gubnernur dgn Kkb......
243,Masa iya mau di bilang preman 
244,"Semoga saja polri dan tni selamat dan misi mereka akan segera selesai tanpa ada yang gugur...
Semoga aja tu teroris mati mengenaskan....
Tebakin aja kepala teroris tu pak...
Ayo semangat dan tetap berhati hati para pahlawan ku di medan perang..."
245,smg sehat  selamat dn sll dlm lindungan ALLAH TNI POLRI..doakami  sll bersamu
246,"bawa ke hukum internasional, eh ujung ujungnya dia yang menang kan sue"
247,"Kkb ini memang jelas ada pihak asing yg bermain makanya ngotot banget dicap teroris, padahal jelas kelakuanya kaya iblis melibihi teroris,  tapi rakyat akan tetap  mendukung demi nkri damai."
